id;variety;mode;format;type;category
icecan_s1a-031_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-032_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-033_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-034_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-034_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-035_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-036_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-037_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-038_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-039_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-039_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-040_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-041_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-042_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-043_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-043_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-044_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-045_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-046_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-047_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-048_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-049_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-050_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-050_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-051_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-052_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-053_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-054_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-055_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-056_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-057_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-058_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-058_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-059_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-059_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-059_3;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-061_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-062_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-063_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-064_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-064_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-065_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-066_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-067_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-068_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-069_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-069_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-070_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-071_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-072_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-073_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-073_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-074_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-075_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-076_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-076_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-077_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-078_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-079_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-080_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-081_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-082_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-082_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-083_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-084_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-085_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-085_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-086_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-087_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-088_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-089_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-089_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-090_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-091_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-092_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-093_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-094_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-095_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-096_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-096_2;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-097_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-097_2;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-098_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-099_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1a-100_1;icecan;spoken;dialogue;private;distance conversations
icecan_s1b-001_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-001_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-001_3;icecan;spoken;dialogue;public;class lessons
icecan_s1b-001_4;icecan;spoken;dialogue;public;class lessons
icecan_s1b-002_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-002_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-003_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-004_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-005_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-006_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-006_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-007_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-008_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-009_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-010_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-010_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-011_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-012_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-012_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-013_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-014_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-015_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-015_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-016_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-017_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-018_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-019_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-019_2;icecan;spoken;dialogue;public;class lessons
icecan_s1b-020_1;icecan;spoken;dialogue;public;class lessons
icecan_s1b-021_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-021_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-022_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-022_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-022_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-023_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-023_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-023_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-023_4;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-023_5;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_4;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_5;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_6;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-024_7;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-025_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-025_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-026_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-027_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-027_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-028_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-028_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-028_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-029_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-029_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-030_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-031_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-031_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-031_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-032_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-032_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-033_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-033_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-034_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-034_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-034_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-035_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-035_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-036_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-036_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-037_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-037_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-037_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-037_4;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-038_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-038_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-039_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-039_2;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-039_3;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-040_1;icecan;spoken;dialogue;public;broadcast discussions
icecan_s1b-041_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-041_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-042_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-042_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-043_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-043_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-044_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-044_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-045_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-045_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-045_3;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-045_4;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-046_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-047_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-047_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-048_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-049_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-050_1;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-050_2;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-050_3;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-050_4;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-050_5;icecan;spoken;dialogue;public;broadcast interviews
icecan_s1b-051_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-051_2;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-052_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-052_2;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-052_3;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-052_4;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-052_5;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-053_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-053_2;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-054_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-055_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-056_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-057_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-058_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-059_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-060_1;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-060_2;icecan;spoken;dialogue;public;parliamentary debates
icecan_s1b-061_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-062_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-062_2;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-063_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-064_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-065_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-066_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-066_2;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-067_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-068_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-069_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-070_1;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-070_2;icecan;spoken;dialogue;public;legal cross-examinations
icecan_s1b-071_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-072_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-073_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-074_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-075_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-075_2;icecan;spoken;dialogue;public;business transactions
icecan_s1b-076_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-077_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-078_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-079_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-080_1;icecan;spoken;dialogue;public;business transactions
icecan_s1b-080_2;icecan;spoken;dialogue;public;business transactions
icecan_s2a-001_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-002_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-003_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-004_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-004_2;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-005_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-006_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-007_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-008_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-009_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-010_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-011_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-012_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-013_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-014_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-015_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-015_2;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-016_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-016_2;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-017_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-017_2;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-018_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-019_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-019_2;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-019_3;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-020_1;icecan;spoken;monologue;unscripted;spontaneous commentaries
icecan_s2a-021_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-022_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-023_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-024_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-025_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-026_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-027_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-028_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-029_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-029_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-030_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-031_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-031_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-032_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-033_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-034_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-034_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-035_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-037_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-038_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-039_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-040_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-040_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-041_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-042_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-043_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-044_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-045_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-046_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-047_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-048_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-048_2;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-049_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-050_1;icecan;spoken;monologue;unscripted;unscripted speeches
icecan_s2a-051_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-052_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-053_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-054_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-054_2;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-055_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-056_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-057_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-057_2;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-058_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-059_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-060_1;icecan;spoken;monologue;unscripted;demonstrations
icecan_s2a-061_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-062_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-063_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-064_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-065_2;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-065_3;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-066_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-067_2;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-068_2;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-069_2;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-069_3;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-070_1;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-070_2;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2a-070_3;icecan;spoken;monologue;unscripted;legal presentations
icecan_s2b-001_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-001_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-001_3;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-001_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-001_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-001_6;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_3;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_6;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-002_7;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-003_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-003_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-004_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-004_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-004_3;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-004_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-005_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-005_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-005_6;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-006_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-006_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_3;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-007_6;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-008_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-008_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-009_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_2;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_3;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_4;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_5;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_6;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-010_7;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-011_1;icecan;spoken;monologue;scripted;broadcast news
icecan_s2b-011_2;icecan;spoken;monologue;scripted;broadcast news
